,minimum_sample_split,n_estimators,minimum_sample_leaf,minimum_impurity_decrease,training_accuracy,testing_accuracy,accuracy_differences
302,13,30,0.01,0.1,0.8168604651162791,0.8173913043478261,0.0005308392315470645
303,13,30,0.060000000000000005,0.0,0.8531976744186046,0.8739130434782608,0.020715369059656208
304,13,30,0.060000000000000005,0.05,0.8313953488372093,0.8347826086956521,0.0033872598584427926
305,13,30,0.060000000000000005,0.1,0.8313953488372093,0.8565217391304348,0.025126390293225498
306,13,30,0.11,0.0,0.8386627906976745,0.8391304347826087,0.0004676440849342711
307,13,30,0.11,0.05,0.8372093023255814,0.8521739130434782,0.014964610717896787
308,13,30,0.11,0.1,0.8357558139534884,0.8434782608695652,0.0077224469160768194
309,13,30,0.16000000000000003,0.0,0.8241279069767442,0.8173913043478261,0.006736602628918065
310,13,30,0.16000000000000003,0.05,0.8241279069767442,0.8217391304347826,0.002388776541961568
311,13,30,0.16000000000000003,0.1,0.8125,0.8391304347826087,0.026630434782608736
312,13,30,0.21000000000000002,0.0,0.8343023255813954,0.8434782608695652,0.009175935288169845
313,13,30,0.21000000000000002,0.05,0.8444767441860465,0.8478260869565217,0.003349342770475272
